EVENT_NUMBER,AGENCY,DISTRICT,ALARM_LEVEL,CITY,NEIGHBORHOOD,BLOCK_BEGIN,BLOCK_END,STREET_NAME,INCIDENT_TYPE_ID,INCIDENT_TYPE_DESCRIPTION,INCIDENT_TYPE_ALIAS,INCIDENT_TIME_OF_OCCURANCE,CREATE_TIME_INCIDENT,ARRIVAL_TIME_PRIMARY_UNIT,CLOSED_TIME_INCIDENT,DISPATCH_TIME_PRIMARY_UNIT,TRANSMIT_TIME_PRIMARY_UNIT,PHONE_PICKUP_TIME,REPORTING_DISTRICT,STATUS_ID
CPD170303000925,,CP2,6,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:05PM,03/03/2017 03:05:50 PM,03/03/2017 03:05:50 PM,,03/03/2017 03:05:50 PM,03/03/2017 03:05:50 PM,Mar  3 2017  3:05PM,,N/A
CPD170303000906,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:01PM,03/03/2017 03:00:45 PM,,03/03/2017 03:01:43 PM,,,Mar  3 2017  3:00PM,,N/A
CPD170303000904,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:00PM,03/03/2017 02:59:34 PM,,03/03/2017 03:00:28 PM,,,Mar  3 2017  2:59PM,,N/A
CPD170303000916,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:04PM,03/03/2017 03:04:41 PM,,03/03/2017 03:05:07 PM,,,Mar  3 2017  3:04PM,,N/A
CPD170303000976,,CBS,8,CINCINNATI,,400,499,Walnut St,One officer,,,Mar  3 2017  3:29PM,03/03/2017 03:28:21 PM,,,03/03/2017 03:57:10 PM,,Mar  3 2017  3:28PM,,N/A
CPD170303000991,,CBS,,CINCINNATI,,900,999,Vine St,,,,Mar  3 2017  3:42PM,03/03/2017 03:41:53 PM,,03/03/2017 03:42:15 PM,,,Mar  3 2017  3:41PM,,N/A
CPD170303000997,,CP5,2,CINCINNATI,,5500,5599,Belmont Av,Two officers,,,Mar  3 2017  3:39PM,03/03/2017 03:38:42 PM,,,03/03/2017 03:45:15 PM,03/03/2017 03:45:15 PM,Mar  3 2017  3:38PM,,N/A
CPD170303000920,,CP3,6,CINCINNATI,,2400,2499,White St,Two officers,,,Mar  3 2017  3:04PM,03/03/2017 03:02:48 PM,03/03/2017 03:52:09 PM,,03/03/2017 03:45:00 PM,,Mar  3 2017  3:02PM,,N/A
CPD170303000926,,CP4,2,CINCINNATI,,3500,3599,Reading Rd,One officer,,,Mar  3 2017  3:07PM,03/03/2017 03:07:59 PM,03/03/2017 03:07:59 PM,03/03/2017 03:57:49 PM,03/03/2017 03:07:59 PM,03/03/2017 03:07:59 PM,Mar  3 2017  3:07PM,,N/A
CPD170303000945,,CP2,6,CINCINNATI,,1600,1699,Dana Av,One officer,,,Mar  3 2017  3:16PM,03/03/2017 03:16:48 PM,03/03/2017 03:16:48 PM,03/03/2017 03:43:45 PM,03/03/2017 03:16:48 PM,03/03/2017 03:16:48 PM,Mar  3 2017  3:16PM,,N/A
CPD170303000981,,CP1,7,CINCINNATI,,800,899,- 899 Poplar St,No response,,,Mar  3 2017  3:35PM,03/03/2017 03:35:13 PM,,03/03/2017 03:35:41 PM,,,Mar  3 2017  3:35PM,,N/A
CPD170303001015,,CP3,7,CINCINNATI,,1700,1799,Harrison Av,One officer,,,Mar  3 2017  3:51PM,03/03/2017 03:51:34 PM,,,,,Mar  3 2017  3:51PM,,N/A
CPD170303001004,,CP2,8,CINCINNATI,,800,899,DELTA AV,One officer,,,Mar  3 2017  3:49PM,03/03/2017 03:49:25 PM,03/03/2017 03:55:27 PM,,03/03/2017 03:55:27 PM,03/03/2017 03:55:27 PM,Mar  3 2017  3:49PM,,N/A
CPD170303000948,,CP5,6,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:17PM,03/03/2017 03:17:33 PM,03/03/2017 03:17:33 PM,03/03/2017 03:31:30 PM,03/03/2017 03:17:33 PM,03/03/2017 03:17:33 PM,Mar  3 2017  3:17PM,,N/A
CPD170303001009,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:52PM,03/03/2017 03:52:01 PM,,03/03/2017 03:52:37 PM,,,Mar  3 2017  3:52PM,,N/A
CPD170303000968,,CP5,4,CINCINNATI,,,,,Two officers,,,Mar  3 2017  3:25PM,03/03/2017 03:25:41 PM,,03/03/2017 03:30:25 PM,03/03/2017 03:29:05 PM,03/03/2017 03:29:05 PM,Mar  3 2017  3:25PM,,N/A
CPD170303000911,,CP4,6,CINCINNATI,,,,,No response,,,Mar  3 2017  3:01PM,03/03/2017 03:01:31 PM,,03/03/2017 03:03:35 PM,,,Mar  3 2017  3:01PM,,N/A
CPD170303000978,,CP4,5,,,900,999,DEBBIE LN,One officer,,,Mar  3 2017  3:27PM,03/03/2017 03:27:09 PM,03/03/2017 03:27:09 PM,03/03/2017 03:35:40 PM,03/03/2017 03:27:09 PM,03/03/2017 03:27:09 PM,Mar  3 2017  3:27PM,,N/A
CPD170303000956,,CP4,6,CINCINNATI,,1600,1699,Section Rd,Two officers,,,Mar  3 2017  3:15PM,03/03/2017 03:15:41 PM,,,,,Mar  3 2017  3:15PM,,N/A
CPD170303000958,,CP1,7,CINCINNATI,,1,100,E Clifton Av,One officer,,,Mar  3 2017  3:23PM,03/03/2017 03:23:45 PM,03/03/2017 03:23:45 PM,03/03/2017 03:48:42 PM,03/03/2017 03:23:45 PM,03/03/2017 03:23:45 PM,Mar  3 2017  3:23PM,,N/A
CPD170303000989,,CP2,4,CINCINNATI,,1500,1599,Madison Rd,Two officers,,,Mar  3 2017  3:39PM,03/03/2017 03:39:45 PM,03/03/2017 03:54:54 PM,,03/03/2017 03:53:29 PM,,Mar  3 2017  3:39PM,,N/A
CPD170303000922,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:06PM,03/03/2017 03:05:48 PM,,03/03/2017 03:06:41 PM,,,Mar  3 2017  3:05PM,,N/A
CPD170303000972,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:28PM,03/03/2017 03:27:58 PM,,03/03/2017 03:28:44 PM,,,Mar  3 2017  3:27PM,,N/A
CPD170303000918,,CP4,7,CINCINNATI,,200,299,Goodman St,No response,,,Mar  3 2017  3:03PM,03/03/2017 03:03:42 PM,,03/03/2017 03:05:43 PM,,,Mar  3 2017  3:03PM,,N/A
CPD170303000919,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:05PM,03/03/2017 03:04:38 PM,,03/03/2017 03:17:53 PM,,,Mar  3 2017  3:04PM,,N/A
CPD170303001006,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:51PM,03/03/2017 03:50:22 PM,,03/03/2017 03:51:18 PM,,,Mar  3 2017  3:50PM,,N/A
CPD170303001005,,CP1,8,CINCINNATI,,1400,1499,BANK ST,One officer,,,Mar  3 2017  3:33PM,03/03/2017 03:33:51 PM,,,03/03/2017 03:52:53 PM,,Mar  3 2017  3:33PM,,N/A
CPD170303001024,,CP4,6,,,,,,One officer,,,Mar  3 2017  3:58PM,03/03/2017 03:58:08 PM,03/03/2017 03:58:08 PM,,03/03/2017 03:58:08 PM,03/03/2017 03:58:08 PM,Mar  3 2017  3:58PM,,N/A
CPD170303000939,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:15PM,03/03/2017 03:13:52 PM,,03/03/2017 03:15:11 PM,,,Mar  3 2017  3:13PM,,N/A
CPD170303000931,,CBS,1,CINCINNATI,,100,199,W 9TH ST,Two officers w/sup,,,Mar  3 2017  3:06PM,03/03/2017 03:05:45 PM,03/03/2017 03:16:02 PM,,03/03/2017 03:12:49 PM,03/03/2017 03:13:24 PM,Mar  3 2017  3:05PM,,N/A
CPD170303000943,,CP3,6,CINCINNATI,,900,999,Enright Av,Two officers,,,Mar  3 2017  3:14PM,03/03/2017 03:13:59 PM,03/03/2017 03:22:12 PM,03/03/2017 03:33:35 PM,03/03/2017 03:18:23 PM,,Mar  3 2017  3:13PM,,N/A
CPD170303000979,,CP4,6,CINCINNATI,,5200,5299,Lillian Dr,Two officers,,,Mar  3 2017  3:31PM,03/03/2017 03:29:47 PM,,,,,Mar  3 2017  3:29PM,,N/A
